Gene name,Glia precursors (GP),Midline glia (MG),Perineurial glia (PG),Subperineurial glia (SPG),Astrocyte like glia (AG),Ensheathing glia (EG),Cortex glia 1 (CG1),Cortex glia 2 (CG2),Twi+,Unanotated (UA)
CG33272,1,1,1,1,1,1,1,1,1,1
Mob2,1.516128218,44.75006297,19.04908913,6.82112172,10.97843767,1.955184472,4.788086012,2.58446785,1.716472585,1.605734575
CG7394,1.226717579,1.579111144,2.092930066,1.887391822,1.723798452,1.805946917,1.37935519,3.869268484,3.573325888,1.632172129
CG33267,1,1.056354104,1.021960152,1.014540976,1,1.035918694,1,1.024021979,1.039345109,1
rt,1,1.018442485,1,1,1,1.082636734,1,1.024021979,1.108390354,1
CG7368,1,1.018442485,1.007267112,1.007244249,1,1,1.004671983,1,1,1
CG14137,1,1,1,1,1,1,1,1,1,1
Duba,1.083008923,1.637893707,1.326299205,1.268961003,1.365007807,1.540775853,1.155455001,1.180769016,1.197325661,1.111985927
Muc68Ca,1,1,1.021960152,1,1.015679663,1,1,1,1,1
CG6084,6.181950754,62.18001087,18.37176762,3.746862118,3.365325118,16.10262028,5.76943923,27.7522992,3.619588651,1.814952437
CG6083,1,1,1,1,1,1,1,1,1,1
PCID2,1.072267222,1.178768635,1.242623672,1.163672366,1.097843767,1.337940443,1.092600861,1.810222501,1.3101422,1.085078087
CG18815,1.650184363,2.732171372,3.375218453,2.39502662,2.792196292,3.856620421,2.22934939,5.79277417,2.798513294,2.119537646
CG32091,1.012537824,1.075835899,1.075094254,1,1,1,1,1,1,1
CG6071,1,1.018442485,1.007267112,1.007244249,1,1.017800911,1,1.024021979,1.012946696,1
RIOK1,1.025232844,1.075835899,1.130990923,1.074850251,1.031605178,1.101908654,1.092600861,1.298380732,1.182022377,1.093974231
CG7339,1.110336318,1.268161613,1.648090789,1.268961003,1.282649831,1.349796194,1.18269972,3.603305055,2.624184787,1.455863196
CG32085,1.002495083,1.018442485,1,1,1,1,1,1,1,1.008198621
TfIIEalpha,1.091135757,1.339627725,1.326299205,1.163672366,1.132541315,1.758776799,1.155455001,2.523840212,1.878205106,1.177394454
Sugb,1,1.056354104,1.007267112,3.290344562,1.031605178,1.121523632,1.009365794,1.329570407,1.415265724,1.041670815
Pldn,1.040677146,1.245197085,1.139209961,1.163672366,1.150299182,1.410669535,1.150081837,1.36150932,1.24443457,1.076254285
CG14135,1.051102385,1.075835899,1.181209807,1.172102298,1.168335485,1.423169753,1.072418686,1.462003639,1.260545886,1.139561029
CR43887,1,1,1,1,1,1,1,1,1,1
CG11652,1.025232844,1.178768635,1.090776692,1.051825205,1.080895687,1.423169753,1.037992778,1.853707628,1.108390354,1.085078087
CG11658,1.027790885,1.056354104,1.067337791,1.189145809,1.168335485,1.291549665,1.233369253,1.024021979,1.066431491,1.067502238
crim,1.056354104,1.200508058,1.139209961,1.03674985,2.427365277,1.758776799,1.052609309,1.767757467,1.379319273,1.309246063
CG14132,1,1.037225095,1,1.03674985,1,1,1.004671983,1.153069992,1.080238255,1.008198621
Bmcp,1.069598485,1.22264841,1.242623672,1.163672366,1.205260937,1.435780738,1.144733661,1.685792525,1.470949508,1.111985927
CG6024,1.012537824,1,1.014587035,1.021890563,1.0477804,1.045098172,1.014081534,1.329570407,1,1.139561029
Pi3K68D,1.043273722,1.136463666,1.233658537,1.250773535,1.430228426,1.668100537,1.150081837,1.298380732,1.166914687,1.085078087
CG5964,1,1,1,1,1,1,1,1,1,1
CG10907,1.020135847,1.037225095,1.082907085,1.082636734,1.0477804,1.235816596,1.033165845,1.427707284,1.197325661,1.058821363
Klp68D,1.043273722,1.291549665,1.067337791,1.122423471,1.115057588,1.111672882,1.18269972,1.153069992,1.052801194,1.067502238
CG10361,3.869566706,21.15421069,5.980390732,1.051825205,1.498565312,1.017800911,1.398778627,1.36150932,1.066431491,1.216483949
CG42255,1.012537824,1.056354104,1.007267112,1,1,1,1,1,1,1
CG14130,1.045876776,1.178768635,1.082907085,1.074850251,1.0477804,1.131461672,1.042842263,1.153069992,1.080238255,1.024798068
CG5946,1.34520316,2.886140441,2.419066453,2.611727727,2.66486784,1.638926159,1.774139863,1.853707628,3.223887574,2.299863854
CG11597,1.017596859,1.037225095,1.03686752,1.029293393,1.015679663,1.121523632,1,1.238179203,1.080238255,1.033199999
RpL10Ab,62907.33667,2.99358E+18,8.40482E+21,2.11845E+16,2.74909E+11,6.84304E+24,1.37936E+11,1.20913E+43,4.11647E+51,2.57838E+14
CG32095,1.02268117,1.018442485,1.067337791,1.051825205,1,1.092230189,1.028361358,1.36150932,1.080238255,1.041670815
CycA,1.083008923,1.245197085,1.478465929,1.278153672,1.323188207,2.85718721,1.028361358,3.124966463,2.398215846,1.177394454
CG7264,1,1,1,1,1,1,1,1,1,1
CG43064,1,1,1,1,1,1,1,1,1,1
CG44837,1.002495083,1,1,1,1.031605178,1,1,1.024021979,1,1.008198621
viaf,1.989304654,16.68100537,6.666522835,3.801345151,3.526121699,5.786981677,3.236841678,16.46246427,17.84007386,3.431318193
Grip163,1.004996391,1.056354104,1.044402552,1.007244249,1.064209244,1.101908654,1.018819306,1.099606032,1.052801194,1.008198621
Pop2,1.257671153,1.522438235,2.062839357,1.705983874,1.408149122,3.593813664,1.274274986,6.522783887,4.389935108,1.363803413
CG6928,1,1.018442485,1.007267112,1.029293393,1.015679663,1.035918694,1,1.099606032,1.026061009,1.008198621
rols,1.002495083,1,1.007267112,1.067119771,1,1.017800911,1,1.238179203,1.182022377,1.121102678
Sema5c,1.00750394,1.115883993,1.03686752,1.197760277,1,1.054358991,1.004671983,1.49712386,1.470949508,1.041670815
vers,1.048486325,1.075835899,1.198440155,1.082636734,1.064209244,1.51382833,1.047714405,1.943836773,1.609547918,1.085078087
ssp,1.03292613,1.178768635,1.224758083,1.074850251,1.097843767,1.610262028,1.042842263,1.569915541,1.630386245,1.093974231
CG11560,1.020135847,1.056354104,1.098703488,1.067119771,1.115057588,1.172102298,1.028361358,1.427707284,1.24443457,1.058821363
yps,1.641980387,4.236274826,8.344179687,3.039195382,2.925608548,141.0669535,1.824456879,526.8045103,753.5203265,4.718010089
CG11534,1.035503366,1.245197085,1.106687889,1.059444888,1.064209244,1.385997517,1.092600861,1.462003639,1.361689888,1.05021108
CG5645,1.002495083,1.037225095,1.059637289,1.029293393,1.015679663,1.111672882,1.014081534,1.099606032,1.012946696,1.024798068
Atg12,1.102066477,1.245197085,1.345645978,1.215176881,1.408149122,1.668100537,1.280228377,1.99053158,1.3101422,1.298599338
ND-SGDH,2.339093699,9.466522603,9.101636712,7.995052439,12.05260937,13.73823796,3.236841678,126.7922718,19.5210329,6.648061608
RhoGAP68F,1.064280922,1.608233878,1.215921843,1.287412935,1.282649831,1.554428969,1.171725579,1.394215469,1.361689888,1.121102678
eIF3l,1.475132967,3.72759372,4.847687225,3.801345151,3.471686819,8.308836822,2.281915693,53.94593974,58.25901377,3.136562174
Nrx-IV,1.035503366,1.364333789,1.090776692,1.090479624,1.750827032,1.474288152,1.102833936,1.394215469,1.3101422,1.256871215
CG32099,1.045876776,1.056354104,1.189793791,1.223979925,1.186654592,1.054358991,1.134111803,1.298380732,1.080238255,1.067502238
CG9760,1,1,1,1,1,1,1.004671983,1,1,1.008198621
Rh7,1.002495083,1.018442485,1.007267112,1,1.015679663,1.008861195,1,1,1.012946696,1
CAH2,1.809571541,96.41108805,7.539776816,1.007244249,1.750827032,1,1.062467831,1,1.012946696,1.2466504
thoc6,1.102066477,1.245197085,1.446696259,1.250773535,1.205260937,1.568203067,1.097705474,2.13745464,2.337303362,1.111985927
CG11529,1.002495083,1.037225095,1.189793791,1.172102298,1.064209244,1,1.023579213,1,1,1.024798068
Adk1,1.335184019,2.539580038,2.878190245,2.360699741,1.645190588,1.092230189,22.50229017,1.267922718,1.039345109,1.444024189
CG5626,1.00750394,1.056354104,1.03686752,1.051825205,1.015679663,1.101908654,1.023579213,1.153069992,1.094223771,1.01646446
app,1.053724973,1.415121244,1.139209961,1.130554586,1.150299182,1.527242658,1.082462738,1.267922718,1.182022377,1.05021108
CG32100,1.00750394,1.037225095,1.021960152,1.098379329,1.0477804,1.161807296,1.037992778,1.126020745,1.122740346,1.05021108
Pbgs,1.02268117,1.056354104,1.044402552,1.098379329,1.031605178,1.203537898,1.047714405,1.267922718,1.182022377,1.024798068
CG4300,1.015064189,1.200508058,1.090776692,1.232846739,1.015679663,1.373823796,1.018819306,1.60762802,1.58897593,1.111985927
INPP5E,1.00750394,1.018442485,1,1,1,1.017800911,1.014081534,1,1,1.008198621
CG4328,1.004996391,1,1,1.014540976,1,1,1.004671983,1.024021979,1,1.041670815
Lmx1a,1,1,1,1,1,1,1,1,1,1
CG10418,1.289405773,1.522438235,2.316220357,1.476654852,1.323188207,4.724213343,1.385799515,13.29570407,6.886345795,1.632172129
CR45444,1,1,1,1,1,1.026819843,1,1,1,1.008198621
CrzR,1.015064189,1.018442485,1.007267112,1.306133176,1.015679663,1,1,1,1,1.01646446
Ncc69,1.004996391,1.037225095,1,1.106336262,1.097843767,1.073127541,1.009365794,1.024021979,1,1.041670815
CG32104,1,1.018442485,1.007267112,1.014540976,1,1.063701872,1.009365794,1.073810967,1.039345109,1
Smyd4-2,1,1,1,1,1,1,1,1,1.012946696,1
CG32103,1.730195739,126.8161613,9.927853181,3.912699448,2.077626938,1.326188825,2.401965701,1.49712386,2.46071577,1.49196579
ArfGAP1,1.158384703,1.339627725,1.405396094,1.223979925,1.262848787,1.59611851,1.144733661,2.58446785,1.452148977,1.256871215
CG10616,1.088420058,1.22264841,1.260749866,1.259834449,1.452653926,1.448503471,1.204957308,1.49712386,1.24443457,1.206591562
CG10663,1.010017746,1,1.007267112,1.014540976,1,1,1,1,1.026061009,1
CG10660,1.129874749,1.522438235,1.139209961,1.114350837,1.132541315,1,1.097705474,1.024021979,1.026061009,1.093974231
CG10657,1.002495083,1,1.007267112,1.03674985,1.545927736,1,1.009365794,1,1.012946696,1.102943312
CG10638,1.765034695,2.360564508,4.255306214,2.483043489,3.16227766,2.662486144,1.654335091,8.076375355,4.22375116,2.262611182
CG10681,1.03292613,1.178768635,1.051992343,1.067119771,1.0477804,1.224961969,1.042842263,1.267922718,1.152000093,1.058821363
CG10646,1.064280922,1.037225095,1.164227185,1.082636734,1.0477804,1.487352107,1.087519986,1.767757467,1.122740346,1.121102678
vih,1.13269388,1.55051578,1.850527731,1.530921697,1.386410669,3.204402976,1.188225273,29.10164414,6.798329885,1.528963659
CG10654,1.242097948,1.55051578,1.918752099,1.232846739,1.365007807,1.017800911,1.807527945,1.048621014,1.039345109,1.267175827
sti,1.002495083,1.075835899,1.207149354,1.014540976,1.0477804,1.314540426,1.004671983,1.943836773,1.327104213,1.024798068
tral,1.312095264,2.19416782,2.716203248,1.718342445,2.013974902,15.54428969,1.458705469,20.87313245,5.605357959,1.785554249
Gcn5,1.043273722,1.157422881,1.082907085,1.138744605,1.132541315,1.461338943,1.018819306,1.60762802,1.415265724,1.085078087
ver,1.053724973,1.056354104,1.198440155,1.146993954,1.031605178,1.111672882,1.052609309,1.238179203,1.197325661,1.102943312
eIF2beta,2.862265769,16.68100537,52.87744233,6.970439917,6.078323128,63.7672519,8.654599267,10240.21979,1509.283936,13.97623103
nst,1.093858231,1.441219597,1.810763098,1.434629682,1.323188207,1.712838732,1.405313698,2.188800532,2.002977071,1.541499054
Tsf2,1.035503366,1.178768635,1.082907085,1.007244249,1.670986622,1.192966786,1.052609309,1.298380732,1.080238255,1.102943312
CG34242,1.14404092,1.22264841,1.425896655,1.215176881,1.282649831,1.474288152,1.250736984,1.685792525,1.212827073,1.288039193
Pmm2,1.335184019,1.55051578,1.589490226,1.455490598,1.594787058,1.398279111,1.542620539,1.646246427,1.260545886,1.22645744
CG4069,1.012537824,1.056354104,1.251653957,1.059444888,1.064209244,1.214202682,1.077429008,1.767757467,1.470949508,1.093974231
sowah,1.099323574,1.930697729,1.215921843,1.306133176,1.302761348,1.743328822,1.268349279,1.60762802,1.489993444,1.158323286
ara,1,1,1,1,1.015679663,1.017800911,1,1.024021979,1.012946696,1
caup,1.002495083,1,1.007267112,1.007244249,1,1.017800911,1,1.048621014,1.026061009,1.033199999
CR32111,1,1,1.014587035,1,1,1,1,1,1,1.01646446
CR43431,1,1,1,1,1,1,1,1,1,1
CR44552,1,1,1,1,1,1.008861195,1,1,1.012946696,1
mirr,1.015064189,1.037225095,1.007267112,1.189145809,1.064209244,168.2881902,1,1.898237355,1.152000093,1.076254285
SmD1,1.542807311,2.15443469,5.726135691,2.028663575,1.892461387,11.72102298,1.631362997,456.871234,39.60639944,2.536619456
Ptp69D,1.066936391,1.200508058,1.224758083,1.059444888,1.0477804,1.610262028,1.166276754,1.298380732,1.293396983,1.033199999
CG32112,1.020135847,1.095676986,1.090776692,1.029293393,1.0477804,1.131461672,1.014081534,1.073810967,1.122740346,1.058821363
CG32109,1.21455052,1.895735652,1.672131546,1.669438915,1.545927736,1.774361663,1.677630666,1.898237355,1.548617398,1.267175827
Klc,1.254540969,1.930697729,2.108139623,1.82048912,1.982883949,2.85718721,2.01207296,2.77522992,2.307429771,1.742347401
CG10984,1.035503366,1.245197085,1.260749866,1.122423471,1.097843767,1.280205514,1.102833936,1.533087739,1.228529176,1.102943312
CG10973,1.096587497,1.245197085,1.375196568,1.296739275,1.545927736,1.527242658,1.097705474,2.188800532,1.3101422,1.216483949
CG32113,1.002495083,1.056354104,1.051992343,1.021890563,1.015679663,1.008861195,1.014081534,1.024021979,1.066431491,1.008198621
Hip1,1.056354104,1.637893707,1.122831183,1.106336262,1.186654592,1.302994339,1.102833936,1.298380732,1.137276124,1.16781994
Atg1,1.045876776,1.157422881,1.233658537,1.090479624,1.080895687,1.790084628,1.087519986,1.726288598,1.470949508,1.121102678
CG42709,1.080313451,1.245197085,1.233658537,1.455490598,1.282649831,1.280205514,1.310415154,1.36150932,1.197325661,1.236512701
Sap130,1.020135847,1.075835899,1.090776692,1.051825205,1.064209244,1.500531824,1.033165845,1.238179203,1.197325661,1.024798068
Sf3a2,1.107572832,1.31536905,1.648090789,1.268961003,1.132541315,1.938011375,1.262451129,5.023783646,2.524844505,1.409081686
CG42588,1.004996391,1.037225095,1.021960152,1.021890563,1.031605178,1.141487774,1.014081534,1.126020745,1.026061009,1.008198621
CG10960,3.076771458,517.9474679,20.62839357,1.029293393,1.47543105,1.017800911,7.490208846,2.188800532,1.094223771,1.432281455
CG10948,1.010017746,1.018442485,1.051992343,1.021890563,1.0477804,1.101908654,1.014081534,1.048621014,1.066431491,1.024798068
Wbp2,1.424556418,4.557536534,2.638661302,2.293514908,3.16227766,2.291676212,2.711429898,2.13745464,1.878205106,1.785554249
Ent3,1.004996391,1.075835899,1.029386851,1.014540976,1.031605178,1.045098172,1.004671983,1.024021979,1.012946696,1.024798068
CG14118,1,1.018442485,1,1,1,1,1,1,1,1
CG32115,1.03292613,1.056354104,1.021960152,1.014540976,1,1,1.009365794,1,1,1.008198621
CG14117,1.025232844,1.056354104,1.059637289,1.146993954,1.031605178,1.203537898,1.047714405,1.329570407,1.27686579,1.058821363
CG11261,1.004996391,1.115883993,1.014587035,1.007244249,1.015679663,1.008861195,1.004671983,1,1.039345109,1.008198621
MICAL-like,1.056354104,1.441219597,1.181209807,1.146993954,1.430228426,1.192966786,1.097705474,1.153069992,1.052801194,1.067502238
CG11267,2.986126662,19.30697729,75.39776816,16.69438915,14.98565312,32.90344562,4.946886929,6369.769417,1609.547918,21.89906295
mRpL20,1.21455052,1.698864456,2.108139623,1.564434435,1.386410669,1.790084628,1.366556305,4.461537381,2.163692455,1.352713031
ste14,1.040677146,1.245197085,1.224758083,1.180593298,1.115057588,1.203537898,1.150081837,1.238179203,1.694533969,1.121102678
CR45445,1,1,1,1,1,1,1,1,1,1
AdenoK,1.289405773,1.608233878,1.365274962,1.241777788,1.343935353,1.326188825,1.405313698,1.685792525,1.784007386,1.187047466
RpS12,300104.6518,3.93766E+19,8.40482E+22,4.96506E+16,6.77768E+12,5.63583E+23,2.97635E+11,6.83993E+43,1.31014E+53,8.70395E+16
CG17672,1,1,1,1.007244249,1,1.017800911,1.004671983,1.646246427,1.026061009,1
SRm160,1.058989795,1.200508058,1.297799335,1.074850251,1.064209244,1.870814173,1.087519986,2.038348089,1.489993444,1.05021108
RpS4,90512.79099,5.08568E+17,8.97078E+20,5.29832E+14,2.92561E+11,2.45926E+25,26613452278,4.79085E+40,1.152E+48,1.2986E+14
Syx13,1.251418576,3.464834856,1.648090789,1.63367681,1.723798452,1.568203067,3.018263036,1.810222501,1.379319273,1.277564921
CG11279,1.251418576,1.698864456,1.932695885,1.519911083,1.47543105,2.007622214,1.593782852,2.464634806,2.081784421,1.467799268
trn,1.002495083,1.018442485,1.007267112,1.007244249,1.015679663,2.116754531,1.004671983,2.841896436,1.052801194,1.067502238
caps,1.035503366,1.364333789,1.207149354,1.098379329,1.282649831,1.349796194,1.057527082,1.209133425,1.228529176,1.076254285
CR43146,1,1,1,1,1,1,1,1,1,1
CG14107,1,1,1,1,1.064209244,1.008861195,1,1,1,1
ImpL1,1,1,1,1,1.015679663,1,1,1,1,1
CG10171,1.088420058,1.115883993,1.207149354,1.082636734,1.386410669,1.291549665,1.134111803,1.427707284,1.3971769,1.139561029
Poc1,1.058989795,1.200508058,1.355424938,1.250773535,1.0477804,2.332470136,1.028361358,2.910164414,1.470949508,1.158323286
CG10222,1.035503366,1.115883993,1.059637289,1.021890563,1.031605178,1.092230189,1.014081534,1.153069992,1.166914687,1.033199999
flr,1.318651005,4.159562163,3.30269086,1.645511571,1.69718713,5.994842503,1.654335091,4.057396243,6.374839776,1.728178717
CG10713,1.012537824,1.056354104,1.029386851,1,1.031605178,1.008861195,1.018819306,1.024021979,1.026061009,1.008198621
cmb,1.030355309,1.075835899,1.03686752,1.03674985,1.015679663,1.161807296,1.037992778,1.073810967,1.012946696,1.041670815
CG10133,1.069598485,1.31536905,1.316730378,1.172102298,1.080895687,1.385997517,1.171725579,2.087313245,1.327104213,1.148903858
CG10738,1,1,1,1.007244249,1.031605178,1,1,1,1,1
CG10089,1.004996391,1,1.007267112,1.007244249,1,1,1,1,1,1.024798068
stv,2.264531442,10758.35899,4.317378513,31.96702306,93.96648315,1.026819843,1.608709894,1.238179203,1.3101422,5.11940936
Abp1,1.064280922,1.415121244,1.316730378,1.373823796,1.343935353,1.461338943,1.128837892,1.533087739,1.807104387,1.277564921
Tgi,1.149756995,2.234633727,1.457209563,1.146993954,1.150299182,1.326188825,1.150081837,1.569915541,1.509283936,1.130294175
Spt20,1.012537824,1.037225095,1.051992343,1.021890563,1,1.224961969,1.018819306,1.073810967,1.066431491,1.008198621
Vps36,1.077624688,1.245197085,1.181209807,1.138744605,1.132541315,1.291549665,1.134111803,1.427707284,1.470949508,1.102943312
Liprin-beta,1.072267222,1.415121244,1.395256608,1.278153672,1.243353424,1.59611851,1.204957308,2.087313245,1.830500418,1.139561029
CG10710,1,1,1,1,1,1,1,1,1,1
bru3,1.030355309,1.157422881,1.029386851,1.03674985,1.031605178,1.063701872,1.018819306,1.238179203,1.012946696,1.177394454
CR45825,1,1,1,1,1,1,1,1,1,1
CG8757,1,1,1,1,1,1,1,1,1,1
Tsp68C,1,1,1.051992343,1,1,1,1,1.180769016,1.012946696,1.008198621
CG8745,1.004996391,1.056354104,1.224758083,1.014540976,1.031605178,1.026819843,3.313163857,1,1,1.01646446
dysc,1.017596859,1,1.021960152,1.059444888,1.064209244,1,1.009365794,1.298380732,1,1.111985927
CG13737,1,1,1,1,1,1,1,1,1,1
Rgl,1.124257519,4.641588834,1.510933266,1.403897573,1.892461387,2.459260859,1.250736984,1.427707284,1.182022377,1.139561029
CG8833,1.010017746,1.037225095,1.059637289,1.03674985,1.031605178,1.121523632,1.014081534,1.153069992,1.137276124,1.008198621
DCTN1-p150,1.066936391,1.389495494,1.224758083,1.163672366,1.186654592,1.337940443,1.250736984,1.329570407,1.137276124,1.158323286
CG32137,1.002495083,1.018442485,1.014587035,1,1.015679663,1,1.004671983,1.024021979,1,1.008198621
Meics,1.012537824,1.136463666,1.122831183,1.044260324,1.0477804,1.280205514,1.042842263,1.533087739,1.228529176,1.093974231
Nxf3,1.002495083,1.037225095,1.021960152,1.014540976,1,1.082636734,1.014081534,1.024021979,1,1.008198621
CG13738,1,1,1,1,1,1,1,1,1,1
CG17364,1,1,1,1.007244249,1,1,1.004671983,1,1,1
26-29-p,5.350014737,149.4869134,32.08405914,55.72903266,57.11586478,19.20989116,2.749610991,4.790847768,56.05357959,11.02943312
CG17361,1.025232844,1.056354104,1.114730314,1.106336262,1.064209244,1.410669535,1.052609309,2.188800532,1.609547918,1.130294175
CG17359,1.015064189,1,1.090776692,1.014540976,1.031605178,1.214202682,1.047714405,1.209133425,1.026061009,1.024798068
