"","Df","FBgn","Symbol"
"32136","Df(1)ED7147","FBgn0266019","rudhira"
"32137","Df(1)ED7147","FBgn0030338","CG15741"
"32138","Df(1)ED7147","FBgn0030339","Cyp28c1"
"32139","Df(1)ED7147","FBgn0030340","CG15740"
"32140","Df(1)ED7147","FBgn0030341","p24-1"
"32141","Df(1)ED7147","FBgn0030342","CG10347"
"32142","Df(1)ED7147","FBgn0030343","ATP7"
"32143","Df(1)ED7147","FBgn0030344","Nrd1"
"32144","Df(1)ED7147","FBgn0030345","CG1847"
"32145","Df(1)ED7147","FBgn0030346","BORCS5"
"32146","Df(1)ED7147","FBgn0030347","CG15739"
"32147","Df(1)ED7147","FBgn0030348","CG10352"
"32148","Df(1)ED7147","FBgn0030349","CG10353"
"32149","Df(1)ED7147","FBgn0030350","SelG"
"32150","Df(1)ED7147","FBgn0030351","CG1840"
"32151","Df(1)ED7147","FBgn0030352","sicily"
"32152","Df(1)ED7147","FBgn0260780","wisp"
"32153","Df(1)ED7147","FBgn0030354","Upf1"
"32154","Df(1)ED7147","FBgn0250871","pot"
"32156","Df(1)ED7147","FBgn0030357","Sclp"
"32157","Df(1)ED7147","FBgn0030358","CG10362"
"32158","Df(1)ED7147","FBgn0263111","cac"
"32159","Df(1)ED7147","FBgn0000808","gd"
"32160","Df(1)ED7147","FBgn0003865","tsg"
"32161","Df(1)ED7147","FBgn0030359","CG18130"
"32162","Df(1)ED7147","FBgn0001083","fw"
"44835","Df(1)ED7147","FBgn0002577","m"
"3771836","Df(1)ED7147","FBgn0052660","lncRNA:CR32660"
"3772605","Df(1)ED7147","FBgn0030356","lncRNA:CR32661"
"5740497","Df(1)ED7147","FBgn0085350","inaF-C"
"5740676","Df(1)ED7147","FBgn0085351","inaF-A"
"735444712","Df(1)ED7147","FBgn0259817","SteXh:CG42398"
"8674114","Df(1)ED7147","FBgn0259918","inaF-B"
"12797970","Df(1)ED7147","FBgn0262686","CG43156"
"12797971","Df(1)ED7147","FBgn0262687","lncRNA:CR43157"
"14462395","Df(1)ED7147","FBgn0264509","asRNA:CR43908"
"19834773","Df(1)ED7147","FBgn0267179","lncRNA:CR45619"
"19835294","Df(1)ED7147","FBgn0267178","lncRNA:CR45618"
"19836135","Df(1)ED7147","FBgn0266277","asRNA:CR44962"
"32163","Df(1)ED7161","FBgn0030360","CG1806"
"32164","Df(1)ED7161","FBgn0030361","CG1492"
"32165","Df(1)ED7161","FBgn0030362","regucalcin"
"32166","Df(1)ED7161","FBgn0043001","Chrac-16"
"32167","Df(1)ED7161","FBgn0030364","Lsm12a"
"32168","Df(1)ED7161","FBgn0030365","Tango4"
"32169","Df(1)ED7161","FBgn0030366","Usp7"
"32170","Df(1)ED7161","FBgn0030367","Cyp311a1"
"32172","Df(1)ED7161","FBgn0030369","Cyp318a1"
"32173","Df(1)ED7161","FBgn0030370","Uch-L5R"
"32174","Df(1)ED7161","FBgn0052656","Muc11A"
"32176","Df(1)ED7161","FBgn0030373","moon"
"32177","Df(1)ED7161","FBgn0030374","CG15734"
"32178","Df(1)ED7161","FBgn0030375","CG11356"
"32179","Df(1)ED7161","FBgn0030376","CG2750"
"32180","Df(1)ED7161","FBgn0030377","CG1924"
"32183","Df(1)ED7161","FBgn0267001","Ten-a"
"32188","Df(1)ED7161","FBgn0030384","CG2577"
"32189","Df(1)ED7161","FBgn0030385","Ir11a"
"32190","Df(1)ED7161","FBgn0030386","CG2574"
"32191","Df(1)ED7161","FBgn0287828","Pkcdelta"
"32193","Df(1)ED7161","FBgn0030389","CG15927"
"32194","Df(1)ED7161","FBgn0030390","CG15731"
"32195","Df(1)ED7161","FBgn0030391","Rab40"
"32196","Df(1)ED7161","FBgn0259143","CG42258"
"32198","Df(1)ED7161","FBgn0030394","Cpr11A"
"32199","Df(1)ED7161","FBgn0002562","Lsp1alpha"
"32200","Df(1)ED7161","FBgn0030395","Mks1"
"32201","Df(1)ED7161","FBgn0030396","CG2556"
"32202","Df(1)ED7161","FBgn0264542","hwt"
"32203","Df(1)ED7161","FBgn0030398","Cpr11B"
"32205","Df(1)ED7161","FBgn0030400","Pits"
"32207","Df(1)ED7161","FBgn0283712","LIMK1"
"32208","Df(1)ED7161","FBgn0030403","CG1824"
"32209","Df(1)ED7161","FBgn0052654","Sec16"
"32211","Df(1)ED7161","FBgn0030406","CG1463"
"32212","Df(1)ED7161","FBgn0030407","Fpgs"
"32213","Df(1)ED7161","FBgn0030408","CG11085"
"32214","Df(1)ED7161","FBgn0030409","CG15728"
"32215","Df(1)ED7161","FBgn0030410","Aven"
"32216","Df(1)ED7161","FBgn0030411","CG2540"
"32217","Df(1)ED7161","FBgn0030412","Tomosyn"
"32221","Df(1)ED7161","FBgn0015024","CkIalpha"
"32222","Df(1)ED7161","FBgn0011837","Tis11"
"32224","Df(1)ED7161","FBgn0030417","CG15725"
"32225","Df(1)ED7161","FBgn0265523","Smr"
"32226","Df(1)ED7161","FBgn0030418","CG4004"
"318140","Df(1)ED7161","FBgn0052651","CG32651"
"318143","Df(1)ED7161","FBgn0052655","CG32655"
"3772397","Df(1)ED7161","FBgn0052657","lncRNA:CR32657"
"3772624","Df(1)ED7161","FBgn0040859","lncRNA:CR32658"
"3885572","Df(1)ED7161","FBgn0053963","lncRNA:CR33963"
"5740207","Df(1)ED7161","FBgn0085352","CG34323"
"5740251","Df(1)ED7161","FBgn0086047","snoRNA:Me18S-G894"
"735444713","Df(1)ED7161","FBgn0259817","SteXh:CG42398"
"12797972","Df(1)ED7161","FBgn0262187","mir-970"
"14462396","Df(1)ED7161","FBgn0264675","lncRNA:CR43960"
"14462398","Df(1)ED7161","FBgn0264678","lncRNA:CR43963"
"19834717","Df(1)ED7161","FBgn0264676","lncRNA:CR43961"
"19835079","Df(1)ED7161","FBgn0267183","asRNA:CR45623"
"19835227","Df(1)ED7161","FBgn0267181","asRNA:CR45621"
"19835267","Df(1)ED7161","FBgn0267175","lncRNA:CR45615"
"19835642","Df(1)ED7161","FBgn0267163","CG45603"
"19836141","Df(1)ED7161","FBgn0265761","lncRNA:CR44568"
"26067086","Df(1)ED7161","FBgn0052652","lncRNA:CR32652"
"30522424","Df(1)ED7161","FBgn0283559","mir-9377"
"54520464","Df(1)ED7161","FBgn0286868","lncRNA:SMRG"
"31151","Df(1)ED6565","FBgn0000117","arm"
"31152","Df(1)ED6565","FBgn0052801","CG32801"
"31153","Df(1)ED6565","FBgn0023509","mip130"
"31154","Df(1)ED6565","FBgn0023511","Edem1"
"31155","Df(1)ED6565","FBgn0023510","Rbcn-3B"
"31156","Df(1)ED6565","FBgn0023512","eIF2Bepsilon"
"31157","Df(1)ED6565","FBgn0023508","Ocrl"
"31158","Df(1)ED6565","FBgn0023522","CG11596"
"31160","Df(1)ED6565","FBgn0023521","CG3587"
"31162","Df(1)ED6565","FBgn0264562","Hr4"
"31163","Df(1)ED6565","FBgn0023545","PIG-K"
"31165","Df(1)ED6565","FBgn0003964","usp"
"31166","Df(1)ED6565","FBgn0000667","Actn"
"31167","Df(1)ED6565","FBgn0026878","CG4325"
"31168","Df(1)ED6565","FBgn0025631","moody"
"31169","Df(1)ED6565","FBgn0025632","CG4313"
"31170","Df(1)ED6565","FBgn0025625","Sik2"
"31171","Df(1)ED6565","FBgn0025626","CG4281"
"31172","Df(1)ED6565","FBgn0029596","CG14054"
"31173","Df(1)ED6565","FBgn0025627","CG4194"
"31174","Df(1)ED6565","FBgn0025628","CG4199"
"31175","Df(1)ED6565","FBgn0025630","Rtca"
"31176","Df(1)ED6565","FBgn0025629","CG4045"
"31177","Df(1)ED6565","FBgn0025624","CG4025"
"31178","Df(1)ED6565","FBgn0040394","CG16903"
"31179","Df(1)ED6565","FBgn0040395","Unc-76"
"31181","Df(1)ED6565","FBgn0004861","ph-p"
"31184","Df(1)ED6565","FBgn0023507","D2hgdh"
"31185","Df(1)ED6565","FBgn0004654","Pgd"
"31186","Df(1)ED6565","FBgn0013432","bcn92"
"31187","Df(1)ED6565","FBgn0004655","wapl"
"31188","Df(1)ED6565","FBgn0005670","Cyp4d1"
"31189","Df(1)ED6565","FBgn0023540","CG3630"
"31190","Df(1)ED6565","FBgn0025839","ND-B14.5A"
"31192","Df(1)ED6565","FBgn0011576","Cyp4d2"
"31193","Df(1)ED6565","FBgn0015036","Cyp4ae1"
"31194","Df(1)ED6565","FBgn0003116","pn"
"31195","Df(1)ED6565","FBgn0023542","Nmd3"
"31196","Df(1)ED6565","FBgn0024984","CG3457"
"31197","Df(1)ED6565","FBgn0029603","CG14053"
"31198","Df(1)ED6565","FBgn0023549","Mct1"
"31200","Df(1)ED6565","FBgn0053548","SmydA-8"
"31201","Df(1)ED6565","FBgn0004397","Vinc"
"31203","Df(1)ED6565","FBgn0029606","CG14052"
"31204","Df(1)ED6565","FBgn0003048","pcx"
"31205","Df(1)ED6565","FBgn0001330","kz"
"31207","Df(1)ED6565","FBgn0023523","Or2a"
"31208","Df(1)ED6565","FBgn0000377","crn"
"31209","Df(1)ED6565","FBgn0023525","CG3191"
"31210","Df(1)ED6565","FBgn0029608","CG3091"
"31211","Df(1)ED6565","FBgn0023524","CG3078"
"31212","Df(1)ED6565","FBgn0027296","temp"
"31213","Df(1)ED6565","FBgn0023527","CG3071"
"31214","Df(1)ED6565","FBgn0023528","CG2924"
"31215","Df(1)ED6565","FBgn0023529","CG2918"
"31217","Df(1)ED6565","FBgn0023526","CG2865"
"31221","Df(1)ED6565","FBgn0003079","Raf"
"44889","Df(1)ED6565","FBgn0004860","ph-d"
"45278","Df(1)ED6565","FBgn0000382","csw"
"45706","Df(1)ED6565","FBgn0023541","Cyp4d14"
"45707","Df(1)ED6565","FBgn0023550","FarO"
"46006","Df(1)ED6565","FBgn0261954","east"
"47781","Df(1)ED6565","FBgn0000810","fs(1)K10"
"50373","Df(1)ED6565","FBgn0040899","CG17776"
"50374","Df(1)ED6565","FBgn0040900","CG17777"
"326240","Df(1)ED6565","FBgn0052803","Ldaf1"
"2768908","Df(1)ED6565","FBgn0023520","CG3857"
"5740271","Df(1)ED6565","FBgn0085362","Vml"
"5740434","Df(1)ED6565","FBgn0086043","snoRNA:Me18S-C1024"
"735444714","Df(1)ED6565","FBgn0259817","SteXh:CG42398"
"12798094","Df(1)ED6565","FBgn0262297","mir-2496"
"12798095","Df(1)ED6565","FBgn0263542","mir-4954"
"12798096","Df(1)ED6565","FBgn0263630","mir-3641"
"12798097","Df(1)ED6565","FBgn0263628","asRNA:CR43637"
"14462376","Df(1)ED6565","FBgn0264446","asRNA:CR43864"
"19834748","Df(1)ED6565","FBgn0267034","lncRNA:CR45478"
"19835032","Df(1)ED6565","FBgn0267035","asRNA:CR45479"
"19835487","Df(1)ED6565","FBgn0265532","asRNA:CR44382"
"19835579","Df(1)ED6565","FBgn0265531","asRNA:CR44381"
"19835588","Df(1)ED6565","FBgn0265901","asRNA:CR44690"
"19835648","Df(1)ED6565","FBgn0266201","asRNA:CR44896"
"19835712","Df(1)ED6565","FBgn0267036","lncRNA:CR45480"
"26067257","Df(1)ED6565","FBgn0267591","asRNA:CR45929"
"329381","Df(1)BSC275","FBgn0027621","Pfrx"
"329391","Df(1)BSC275","FBgn0031023","CG14200"
"32940","Df(1)BSC275","FBgn0027291","Idh3a"
"32941","Df(1)BSC275","FBgn0261573","CoRest"
"32942","Df(1)BSC275","FBgn0031026","CG12231"
"32943","Df(1)BSC275","FBgn0052532","CG32532"
"32946","Df(1)BSC275","FBgn0026430","Grip84"
"32947","Df(1)BSC275","FBgn0000257","car"
"32948","Df(1)BSC275","FBgn0031030","Tao"
"735444715","Df(1)BSC275","FBgn0259817","SteXh:CG42398"
"12798174","Df(1)BSC275","FBgn0262181","mir-972"
"12798175","Df(1)BSC275","FBgn0262201","mir-973"
"12798176","Df(1)BSC275","FBgn0262216","mir-974"
"12798177","Df(1)BSC275","FBgn0262338","mir-2499"
"12798178","Df(1)BSC275","FBgn0263514","mir-4966-1"
"12798179","Df(1)BSC275","FBgn0262228","mir-975"
"12798180","Df(1)BSC275","FBgn0262341","mir-976"
"12798181","Df(1)BSC275","FBgn0262251","mir-977"
"12798182","Df(1)BSC275","FBgn0262314","mir-978"
"12798183","Df(1)BSC275","FBgn0262301","mir-979"
"30522421","Df(1)BSC275","FBgn0283639","mir-9369"
"36786391","Df(1)BSC275","FBgn0286004","mir-4966-2"
"32343","Df(1)ED7225","FBgn0261244","inaE"
"32344","Df(1)ED7225","FBgn0030524","CG10993"
"32345","Df(1)ED7225","FBgn0030525","CG10996"
"32348","Df(1)ED7225","FBgn0030528","CG11095"
"32349","Df(1)ED7225","FBgn0030529","Clic"
"32350","Df(1)ED7225","FBgn0027537","Nup93-1"
"32351","Df(1)ED7225","FBgn0030530","jub"
"32352","Df(1)ED7225","FBgn0052626","AMPdeam"
"32353","Df(1)ED7225","FBgn0267033","mamo"
"32357","Df(1)ED7225","FBgn0030536","CG11068"
"32358","Df(1)ED7225","FBgn0000173","ben"
"32359","Df(1)ED7225","FBgn0030537","CG12480"
"32360","Df(1)ED7225","FBgn0030538","betaNACtes1"
"32361","Df(1)ED7225","FBgn0030539","CG1368"
"32362","Df(1)ED7225","FBgn0030540","CG11581"
"32363","Df(1)ED7225","FBgn0030541","CG11584"
"32364","Df(1)ED7225","FBgn0030542","CG12481"
"32365","Df(1)ED7225","FBgn0030543","CG11585"
"32366","Df(1)ED7225","FBgn0030544","CG13403"
"32367","Df(1)ED7225","FBgn0004649","yl"
"32368","Df(1)ED7225","FBgn0030545","CG11590"
"32371","Df(1)ED7225","FBgn0040153","l(1)G0469"
"32373","Df(1)ED7225","FBgn0026713","Prp16"
"32374","Df(1)ED7225","FBgn0030551","CG11674"
"32375","Df(1)ED7225","FBgn0030552","mRpL38"
"32377","Df(1)ED7225","FBgn0030554","CG1434"
"32378","Df(1)ED7225","FBgn0030555","Fbxl4"
"32379","Df(1)ED7225","FBgn0030556","mRNA-cap"
"32381","Df(1)ED7225","FBgn0030558","Tat"
"32382","Df(1)ED7225","FBgn0030559","CG13404"
"32384","Df(1)ED7225","FBgn0052602","Muc12Ea"
"32385","Df(1)ED7225","FBgn0030562","CG9400"
"32386","Df(1)ED7225","FBgn0030563","betaNACtes2"
"44839","Df(1)ED7225","FBgn0002873","mud"
"45338","Df(1)ED7225","FBgn0002917","na"
"50344","Df(1)ED7225","FBgn0040871","CG12479"
"117463","Df(1)ED7225","FBgn0044817","Ste12DOR"
"318107","Df(1)ED7225","FBgn0052598","betaNACtes6"
"318108","Df(1)ED7225","FBgn0260482","CG32599"
"318109","Df(1)ED7225","FBgn0052603","CG32603"
"2768872","Df(1)ED7225","FBgn0053237","Ste:CG33237"
"2768873","Df(1)ED7225","FBgn0053236","Ste:CG33236"
"2768892","Df(1)ED7225","FBgn0259166","CG42271"
"2768896","Df(1)ED7225","FBgn0053244","Ste:CG33244"
"2768897","Df(1)ED7225","FBgn0053243","Ste:CG33243"
"2768898","Df(1)ED7225","FBgn0053242","Ste:CG33242"
"2768899","Df(1)ED7225","FBgn0053241","Ste:CG33241"
"2768900","Df(1)ED7225","FBgn0053240","Ste:CG33240"
"2768901","Df(1)ED7225","FBgn0053239","Ste:CG33239"
"2768902","Df(1)ED7225","FBgn0053238","Ste:CG33238"
"2768904","Df(1)ED7225","FBgn0053247","Ste:CG33247"
"2768905","Df(1)ED7225","FBgn0053246","Ste:CG33246"
"2768906","Df(1)ED7225","FBgn0053245","Ste:CG33245"
"735444716","Df(1)ED7225","FBgn0259817","SteXh:CG42398"
"12797976","Df(1)ED7225","FBgn0263530","mir-4917"
"19834889","Df(1)ED7225","FBgn0265866","lncRNA:CR44655"
"19835621","Df(1)ED7225","FBgn0265869","lncRNA:CR44658"
"19835737","Df(1)ED7225","FBgn0266278","lncRNA:CR44963"
"19835921","Df(1)ED7225","FBgn0265868","lncRNA:CR44657"
"26067316","Df(1)ED7225","FBgn0267657","asRNA:CR45995"
"26067553","Df(1)ED7225","FBgn0267962","lncRNA:CR46242"
"30522406","Df(1)ED7225","FBgn0284233","CG46317"
"54520511","Df(1)ED7225","FBgn0287604","asRNA:CR46473"
"31614","Df(1)BSC351","FBgn0029898","CG14439"
"31615","Df(1)BSC351","FBgn0287725","sov"
"31617","Df(1)BSC351","FBgn0003390","shf"
"31618","Df(1)BSC351","FBgn0259228","C3G"
"31620","Df(1)BSC351","FBgn0029903","pod1"
"31621","Df(1)BSC351","FBgn0086693","iav"
"31622","Df(1)BSC351","FBgn0029905","Nf-YC"
"31623","Df(1)BSC351","FBgn0029906","xit"
"31624","Df(1)BSC351","FBgn0029907","Atx-1"
"31625","Df(1)BSC351","FBgn0263968","nonC"
"31626","Df(1)BSC351","FBgn0029909","mAChR-C"
"31628","Df(1)BSC351","FBgn0029911","CG14435"
"31629","Df(1)BSC351","FBgn0029912","CG4557"
"31630","Df(1)BSC351","FBgn0029913","Cht11"
"31631","Df(1)BSC351","FBgn0029914","CG4558"
"31632","Df(1)BSC351","FBgn0029915","CG14434"
"44007","Df(1)BSC351","FBgn0029502","Coq7"
"735444717","Df(1)BSC351","FBgn0259817","SteXh:CG42398"
"12797941","Df(1)BSC351","FBgn0263507","lncRNA:CR43496"
"19835847","Df(1)BSC351","FBgn0267087","lncRNA:CR45531"
"30981","Df(1)BSC530","FBgn0000022","ac"
"30982","Df(1)BSC530","FBgn0004170","sc"
"30983","Df(1)BSC530","FBgn0002561","l(1)sc"
"30984","Df(1)BSC530","FBgn0011822","Pgcl"
"30985","Df(1)BSC530","FBgn0000137","ase"
"30986","Df(1)BSC530","FBgn0010019","Cyp4g1"
"30988","Df(1)BSC530","FBgn0029522","CG13373"
"30990","Df(1)BSC530","FBgn0029524","CG3176"
"30991","Df(1)BSC530","FBgn0029525","CG18273"
"30994","Df(1)BSC530","FBgn0023536","CG3156"
"30995","Df(1)BSC530","FBgn0023537","CG17896"
"30996","Df(1)BSC530","FBgn0023534","CG17778"
"30998","Df(1)BSC530","FBgn0004648","svr"
"31000","Df(1)BSC530","FBgn0260400","elav"
"31001","Df(1)BSC530","FBgn0024983","CG4293"
"31002","Df(1)BSC530","FBgn0000108","Appl"
"31003","Df(1)BSC530","FBgn0261930","vnd"
"31004","Df(1)BSC530","FBgn0025633","spdi"
"31005","Df(1)BSC530","FBgn0029529","CG13365"
"31006","Df(1)BSC530","FBgn0016038","Vsp37A"
"31007","Df(1)BSC530","FBgn0025640","CG13369"
"46717","Df(1)BSC530","FBgn0023535","arg"
"47141","Df(1)BSC530","FBgn0266572","ebo"
"318226","Df(1)BSC530","FBgn0052817","CG32817"
"735444718","Df(1)BSC530","FBgn0259817","SteXh:CG42398"
"10178876","Df(1)BSC530","FBgn0266568","lncRNA:yar"
"12798091","Df(1)BSC530","FBgn0263534","mir-4960"
"19834837","Df(1)BSC530","FBgn0266197","asRNA:CR44892"
"19834965","Df(1)BSC530","FBgn0265964","lncRNA:CR44751"
"19835367","Df(1)BSC530","FBgn0265965","lncRNA:CR44752"
"19835875","Df(1)BSC530","FBgn0265966","lncRNA:CR44753"
"19836009","Df(1)BSC530","FBgn0266196","asRNA:CR44891"
"19836169","Df(1)BSC530","FBgn0267030","lncRNA:CR45474"
"26067128","Df(1)BSC530","FBgn0267447","asRNA:CR45797"
"54520466","Df(1)BSC530","FBgn0286870","lncRNA:enrr"
"31645","Df(1)BSC644","FBgn0027107","Inx6"
"33023","Df(1)BSC644","FBgn0022770","Peritrophin-A"
"33024","Df(1)BSC644","FBgn0031098","CG17068"
"33025","Df(1)BSC644","FBgn0015789","Rab10"
"33026","Df(1)BSC644","FBgn0031099","CG17065"
"33028","Df(1)BSC644","FBgn0031100","CG1504"
"33029","Df(1)BSC644","FBgn0031101","CG1631"
"33031","Df(1)BSC644","FBgn0031103","CG12679"
"33032","Df(1)BSC644","FBgn0031104","jb"
"33033","Df(1)BSC644","FBgn0027334","l(1)G0004"
"33034","Df(1)BSC644","FBgn0031106","Syx16"
"33035","Df(1)BSC644","FBgn0031107","HERC2"
"33036","Df(1)BSC644","FBgn0031108","CG15459"
"33037","Df(1)BSC644","FBgn0031109","Obp19a"
"33038","Df(1)BSC644","FBgn0031110","Obp19b"
"33039","Df(1)BSC644","FBgn0031111","Obp19c"
"33040","Df(1)BSC644","FBgn0011280","Obp19d"
"33043","Df(1)BSC644","FBgn0031114","cactin"
"33044","Df(1)BSC644","FBgn0031115","CG11710"
"33045","Df(1)BSC644","FBgn0002641","mal"
"33046","Df(1)BSC644","FBgn0031116","CG1695"
"33047","Df(1)BSC644","FBgn0031117","GstT3"
"33048","Df(1)BSC644","FBgn0031118","RhoGAP19D"
"33049","Df(1)BSC644","FBgn0031119","CG1812"
"33051","Df(1)BSC644","FBgn0259162","RunxB"
"33056","Df(1)BSC644","FBgn0031126","Cyp6v1"
"33057","Df(1)BSC644","FBgn0031127","CG1835"
"33058","Df(1)BSC644","FBgn0031128","hydra"
"33059","Df(1)BSC644","FBgn0003300","run"
"33060","Df(1)BSC644","FBgn0031129","CG1324"
"33061","Df(1)BSC644","FBgn0031130","CG15452"
"33062","Df(1)BSC644","FBgn0085387","shakB"
"33064","Df(1)BSC644","FBgn0031132","CG15450"
"33066","Df(1)BSC644","FBgn0031134","CG1314"
"33068","Df(1)BSC644","FBgn0261624","I-3"
"33071","Df(1)BSC644","FBgn0031139","CG11227"
"33072","Df(1)BSC644","FBgn0261675","Npc1b"
"33073","Df(1)BSC644","FBgn0011834","Ser6"
"33074","Df(1)BSC644","FBgn0031141","CG1304"
"33075","Df(1)BSC644","FBgn0031142","r-cup"
"33076","Df(1)BSC644","FBgn0031143","CG1532"
"33077","Df(1)BSC644","FBgn0031144","CG1529"
"33078","Df(1)BSC644","FBgn0031145","Ntf-2"
"33079","Df(1)BSC644","FBgn0031146","CG15449"
"33081","Df(1)BSC644","FBgn0031148","Cbs"
"33082","Df(1)BSC644","FBgn0031149","Stt3A"
"33083","Df(1)BSC644","FBgn0031150","bves"
"39659","Df(1)BSC644","FBgn0026323","Tak1"
"44110","Df(1)BSC644","FBgn0025814","Mgstl"
"45031","Df(1)BSC644","FBgn0023177","Pp4-19C"
"50121","Df(1)BSC644","FBgn0040648","CG11666"
"50122","Df(1)BSC644","FBgn0040649","CG15461"
"50123","Df(1)BSC644","FBgn0040650","CG15456"
"50124","Df(1)BSC644","FBgn0040651","CG15458"
"318059","Df(1)BSC644","FBgn0052506","tbc"
"318060","Df(1)BSC644","FBgn0052507","CG32507"
"3772525","Df(1)BSC644","FBgn0065057","scaRNA:MeU2-C28"
"4379817","Df(1)BSC644","FBgn0083981","RunxA"
"5740172","Df(1)BSC644","FBgn0086048","snoRNA:Me28S-U3344b"
"5740538","Df(1)BSC644","FBgn0086049","snoRNA:Me28S-U3344a"
"735444719","Df(1)BSC644","FBgn0259817","SteXh:CG42398"
"8673961","Df(1)BSC644","FBgn0260870","CG42580"
"8673999","Df(1)BSC644","FBgn0260867","CG42577"
"8674025","Df(1)BSC644","FBgn0260869","CG42579"
"8674106","Df(1)BSC644","FBgn0260868","CG42578"
"14462415","Df(1)BSC644","FBgn0264444","lncRNA:CR43862"
"14462416","Df(1)BSC644","FBgn0264390","lncRNA:CR43838"
"19835184","Df(1)BSC644","FBgn0265921","lncRNA:CR44710"
"19835269","Df(1)BSC644","FBgn0267060","lncRNA:CR45504"
"19835492","Df(1)BSC644","FBgn0267170","lncRNA:CR45610"
"19835799","Df(1)BSC644","FBgn0266419","lncRNA:CR45059"
"19835804","Df(1)BSC644","FBgn0265613","asRNA:CR44431"
"19835824","Df(1)BSC644","FBgn0267061","lncRNA:CR45505"
"19836007","Df(1)BSC644","FBgn0267022","asRNA:CR45466"
"19836188","Df(1)BSC644","FBgn0265608","CG44426"
"26067103","Df(1)BSC644","FBgn0262822","lncRNA:CR43193"
"32076","Df(1)BSC722","FBgn0030292","CG11752"
"32077","Df(1)BSC722","FBgn0030293","CG1737"
"32078","Df(1)BSC722","FBgn0000499","dsh"
"32079","Df(1)BSC722","FBgn0287454","Pa1"
"32080","Df(1)BSC722","FBgn0004864","hop"
"32081","Df(1)BSC722","FBgn0027359","Tim8"
"32083","Df(1)BSC722","FBgn0001624","dlg1"
"32084","Df(1)BSC722","FBgn0030296","CG15196"
"32085","Df(1)BSC722","FBgn0030297","Gr10b"
"32086","Df(1)BSC722","FBgn0030298","Or10a"
"32087","Df(1)BSC722","FBgn0001145","Gs2"
"32088","Df(1)BSC722","FBgn0262740","Evi5"
"32089","Df(1)BSC722","FBgn0030300","Sk1"
"32090","Df(1)BSC722","FBgn0030301","HP5"
"32092","Df(1)BSC722","FBgn0262685","CG43155"
"32093","Df(1)BSC722","FBgn0030304","Cyp4g15"
"32094","Df(1)BSC722","FBgn0030305","Uba5"
"32095","Df(1)BSC722","FBgn0030306","Spase25"
"32097","Df(1)BSC722","FBgn0052666","Drak"
"32098","Df(1)BSC722","FBgn0030309","CG1572"
"32099","Df(1)BSC722","FBgn0030310","PGRP-SA"
"32100","Df(1)BSC722","FBgn0003277","Polr2A"
"32101","Df(1)BSC722","FBgn0030311","CG11699"
"32102","Df(1)BSC722","FBgn0027259","Kmn1"
"32103","Df(1)BSC722","FBgn0030313","Reepl1"
"32104","Df(1)BSC722","FBgn0030314","CG11696"
"32106","Df(1)BSC722","FBgn0030316","CG11695"
"32107","Df(1)BSC722","FBgn0002948","nod"
"32108","Df(1)BSC722","FBgn0030317","pkm"
"32109","Df(1)BSC722","FBgn0030318","rho-4"
"32110","Df(1)BSC722","FBgn0030319","CG2533"
"32111","Df(1)BSC722","FBgn0030320","CG2247"
"32112","Df(1)BSC722","FBgn0030321","CG1703"
"32113","Df(1)BSC722","FBgn0288833","RPA3"
"32114","Df(1)BSC722","FBgn0002723","Met"
"32115","Df(1)BSC722","FBgn0004370","Ptp10D"
"32116","Df(1)BSC722","FBgn0030323","Vlet"
"32119","Df(1)BSC722","FBgn0014133","bif"
"32120","Df(1)BSC722","FBgn0011754","PhKgamma"
"32121","Df(1)BSC722","FBgn0030326","CG2444"
"32122","Df(1)BSC722","FBgn0030327","FucT6"
"32123","Df(1)BSC722","FBgn0030328","Amun"
"321241","Df(1)BSC722","FBgn0030329","prtp"
"321251","Df(1)BSC722","FBgn0030330","Tango10"
"321261","Df(1)BSC722","FBgn0260812","inaF-D"
"321271","Df(1)BSC722","FBgn0030331","CG15221"
"45848","Df(1)BSC722","FBgn0000618","e(y)2"
"117501","Df(1)BSC722","FBgn0045502","Gr10a"
"2768871","Df(1)BSC722","FBgn0030307","CG33235"
"3772415","Df(1)BSC722","FBgn0019660","lncRNA:roX2"
"57404971","Df(1)BSC722","FBgn0085350","inaF-C"
"57406761","Df(1)BSC722","FBgn0085351","inaF-A"
"735444720","Df(1)BSC722","FBgn0259817","SteXh:CG42398"
"86741141","Df(1)BSC722","FBgn0259918","inaF-B"
"12797961","Df(1)BSC722","FBgn0262335","mir-2492"
"198352941","Df(1)BSC722","FBgn0267178","lncRNA:CR45618"
"19835918","Df(1)BSC722","FBgn0265749","lncRNA:CR44556"
"19836070","Df(1)BSC722","FBgn0265252","asRNA:CR44266"
"30522417","Df(1)BSC722","FBgn0283637","mir-9370"
"32633","Df(1)FDD-0331226","FBgn0030764","CG9777"
"32635","Df(1)FDD-0331226","FBgn0010412","RpS19a"
"32636","Df(1)FDD-0331226","FBgn0261791","SNRPG"
"32637","Df(1)FDD-0331226","FBgn0030766","mthl1"
"32638","Df(1)FDD-0331226","FBgn0052573","CG32573"
"32639","Df(1)FDD-0331226","FBgn0030768","Nemp"
"32640","Df(1)FDD-0331226","FBgn0003189","r"
"32641","Df(1)FDD-0331226","FBgn0015336","CG15865"
"32642","Df(1)FDD-0331226","FBgn0030769","CG13012"
"32643","Df(1)FDD-0331226","FBgn0030770","CG13010"
